Region ID,Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit,Shipment Allowed,Remarks
E124,Europe,Denmark,Beverages,Online,H,06-05-2016,05-02-2010,973268353,6/26/2016,589,47.45,31.79,27948.05,18724.31,9223.74,Yes,ok
E124,Europe,Finland,Vegetables,Offline,L,2/14/2013,06-02-2010,771674382,3/21/2013,4453,154.06,90.93,686029.18,404911.29,281117.89,Yes,ok
E124,Europe,Kosovo,Fruits,Online,L,05-02-2010,07-02-2010,291995418,06-06-2010,6788,9.33,6.92,63332.04,46972.96,16359.08,Yes,ok
E124,Europe,Hungary,Baby Food,Online,M,1/25/2011,08-02-2010,128686225,3/13/2011,9968,255.28,159.42,2544631.04,1589098.56,955532.48,Yes,ok
E124,Europe,Lithuania,Cosmetics,Offline,L,01-06-2012,09-02-2010,420875346,2/18/2012,5223,437.2,263.33,2283495.6,1375372.59,908123.01,Yes,ok
E124,Europe,Albania,Vegetables,Online,C,10-05-2012,10-02-2010,476633536,11-03-2012,5310,154.06,90.93,818058.6,482838.3,335220.3,Yes,ok
E124,Europe,Cyprus,Vegetables,Offline,C,07-02-2014,11-02-2010,727997720,7/19/2014,9558,154.06,90.93,1472505.48,869108.94,603396.54,Yes,ok
E124,Europe,Moldova ,Personal Care,Online,M,03-11-2013,12-02-2010,467045819,04-12-2013,8092,81.73,56.67,661359.16,458573.64,202785.52,Yes,ok
E124,Europe,Kosovo,Cosmetics,Offline,C,11-01-2012,13-02-2010,813973891,11/13/2012,1818,437.2,263.33,794829.6,478733.94,316095.66,Yes,ok
E124,Europe,Albania,Cosmetics,Offline,L,9/30/2016,14-02-2010,576944720,10-09-2016,9619,437.2,263.33,4205426.8,2532971.27,1672455.53,Yes,ok
E124,Europe,Portugal,Baby Food,Online,L,08-03-2015,15-02-2010,404789817,09-08-2015,5157,255.28,159.42,1316478.96,822128.94,494350.02,Yes,ok
E124,Europe,Bosnia and Herzegovina,Baby Food,Online,C,4/30/2014,16-02-2010,871923768,5/30/2014,474,255.28,159.42,121002.72,75565.08,45437.64,Yes,ok
E124,Europe,Kosovo,Vegetables,Offline,C,12/18/2012,17-02-2010,818976962,12/21/2012,2337,154.06,90.93,360038.22,212503.41,147534.81,Yes,ok
E124,Europe,Switzerland,Cosmetics,Online,C,7/20/2017,18-02-2010,233811223,7/20/2017,8792,437.2,263.33,3843862.4,2315197.36,1528665.04,Yes,ok
E124,Europe,Lithuania,Office Supplies,Offline,C,12/15/2016,19-02-2010,112330758,01-11-2017,22,651.21,524.96,14326.62,11549.12,2777.5,Yes,ok
E124,Europe,Montenegro,Office Supplies,Offline,H,07-02-2014,20-02-2010,256095016,8/21/2014,3061,651.21,524.96,1993353.81,1606902.56,386451.25,Yes,ok
E124,Europe,France,Meat,Online,L,11/28/2015,21-02-2010,245440852,12/17/2015,257,421.89,364.69,108425.73,93725.33,14700.4,Yes,ok
E124,Europe,Spain,Fruits,Online,H,10/22/2011,22-02-2010,817006289,11/14/2011,9172,9.33,6.92,85574.76,63470.24,22104.52,Yes,ok
E124,Europe,Sweden,Vegetables,Online,H,9/20/2010,23-02-2010,298228013,10/25/2010,1151,154.06,90.93,177323.06,104660.43,72662.63,Yes,ok
E124,Europe,Latvia,Snacks,Online,C,3/15/2017,24-02-2010,972981679,04-09-2017,5755,152.58,97.44,878097.9,560767.2,317330.7,Yes,ok
E124,Europe,Norway,Personal Care,Offline,M,06-08-2012,25-02-2010,594813811,6/17/2012,7480,81.73,56.67,611340.4,423891.6,187448.8,Yes,ok
E124,Europe,Estonia,Clothes,Online,H,09-08-2012,26-02-2010,176722657,9/16/2012,5016,109.28,35.84,548148.48,179773.44,368375.04,Yes,ok
E124,Europe,Malta,Personal Care,Offline,M,8/16/2011,27-02-2010,466988742,8/16/2011,1201,81.73,56.67,98157.73,68060.67,30097.06,Yes,ok
E124,Europe,Portugal,Cereal,Online,C,08-11-2015,28-02-2010,615080583,9/19/2015,4868,205.7,117.11,1001347.6,570091.48,431256.12,Yes,ok
E124,Europe,Macedonia,Cosmetics,Online,C,12/26/2010,01-03-2010,350977408,1/22/2011,869,437.2,263.33,379926.8,228833.77,151093.03,Yes,ok
E124,Europe,Greece,Personal Care,Offline,M,12-08-2011,02-03-2010,701298367,01-06-2012,8626,81.73,56.67,705002.98,488835.42,216167.56,Yes,ok
E124,Europe,Italy,Personal Care,Online,C,2/25/2011,03-03-2010,309342658,3/28/2011,222,81.73,56.67,18144.06,12580.74,5563.32,Yes,ok
E124,Europe,Norway,Household,Offline,M,3/20/2010,04-03-2010,384128224,4/26/2010,933,668.27,502.54,623495.91,468869.82,154626.09,Yes,ok
E124,Europe,Netherlands,Household,Offline,C,1/17/2014,05-03-2010,990774810,2/18/2014,1138,668.27,502.54,760491.26,571890.52,188600.74,Yes,ok
E124,Europe,Belgium,Vegetables,Offline,C,12/26/2011,06-03-2010,394110763,12/29/2011,4988,154.06,90.93,768451.28,453558.84,314892.44,Yes,ok
E124,Europe,Kosovo,Fruits,Online,C,03-02-2012,07-03-2010,899868094,3/26/2012,9821,9.33,6.92,91629.93,67961.32,23668.61,Yes,ok
E124,Europe,Germany,Baby Food,Offline,L,01-06-2017,08-03-2010,361311852,2/15/2017,9061,255.28,159.42,2313092.08,1444504.62,868587.46,Yes,ok
E124,Europe,Hungary,Beverages,Online,L,5/20/2014,09-03-2010,930136287,6/21/2014,6852,47.45,31.79,325127.4,217825.08,107302.32,Yes,ok
E124,Europe,Bulgaria,Cosmetics,Online,C,05-05-2012,10-03-2010,179819428,06-02-2012,1420,437.2,263.33,620824,373928.6,246895.4,Yes,ok
E124,Europe,Bosnia and Herzegovina,Fruits,Online,H,01-05-2013,11-03-2010,291305768,01-06-2013,2705,9.33,6.92,25237.65,18718.6,6519.05,Yes,ok
E124,Europe,Russia,Personal Care,Online,L,4/24/2015,12-03-2010,602357041,05-05-2015,9689,81.73,56.67,791881.97,549075.63,242806.34,Yes,ok
E124,Europe,Albania,Snacks,Online,H,12-02-2010,13-03-2010,653087270,12-07-2010,1891,152.58,97.44,288528.78,184259.04,104269.74,Yes,ok
E124,Europe,Slovenia,Fruits,Offline,M,12/15/2013,14-03-2010,812637078,01-05-2014,6225,9.33,6.92,58079.25,43077,15002.25,Yes,ok
E124,Europe,Macedonia,Personal Care,Online,L,7/19/2014,15-03-2010,456192958,8/18/2014,6489,81.73,56.67,530345.97,367731.63,162614.34,Yes,ok
E124,Europe,Albania,Meat,Offline,H,1/31/2013,16-03-2010,986449801,3/13/2013,1272,421.89,364.69,536644.08,463885.68,72758.4,Yes,ok
E124,Europe,Sweden,Cosmetics,Online,L,07-03-2017,17-03-2010,910610234,7/31/2017,8659,437.2,263.33,3785714.8,2280174.47,1505540.33,Yes,ok
E124,Europe,Norway,Meat,Online,M,03-03-2017,18-03-2010,696844613,3/22/2017,661,421.89,364.69,278869.29,241060.09,37809.2,Yes,ok
E124,Europe,Czech Republic,Personal Care,Online,M,12-04-2010,19-03-2010,353415429,12-08-2010,2334,81.73,56.67,190757.82,132267.78,58490.04,Yes,ok
E124,Europe,Andorra,Cereal,Online,H,3/19/2010,20-03-2010,696197879,3/26/2010,9278,205.7,117.11,1908484.6,1086546.58,821938.02,Yes,ok
E124,Europe,Iceland,Cosmetics,Online,C,04-05-2012,21-03-2010,907349526,5/16/2012,3743,437.2,263.33,1636439.6,985644.19,650795.41,Yes,ok
E124,Europe,Poland,Personal Care,Offline,C,04-05-2014,22-03-2010,386440074,4/25/2014,5060,81.73,56.67,413553.8,286750.2,126803.6,Yes,ok
E124,Europe,Finland,Vegetables,Online,H,9/28/2012,23-03-2010,800352561,10/21/2012,963,154.06,90.93,148359.78,87565.59,60794.19,Yes,ok
E124,Europe,Poland,Beverages,Offline,C,01-08-2014,24-03-2010,714165675,02-02-2014,6348,47.45,31.79,301212.6,201802.92,99409.68,Yes,ok
E124,Europe,Croatia,Beverages,Offline,L,2/22/2013,25-03-2010,189924275,3/21/2013,1668,47.45,31.79,79146.6,53025.72,26120.88,Yes,ok
E124,Europe,Poland,Meat,Online,H,4/30/2013,26-03-2010,546081721,5/22/2013,6571,421.89,364.69,2772239.19,2396377.99,375861.2,Yes,ok
E124,Europe,Switzerland,Baby Food,Online,C,6/26/2010,27-03-2010,979073941,7/18/2010,8591,255.28,159.42,2193110.48,1369577.22,823533.26,Yes,ok
E124,Europe,Bosnia and Herzegovina,Personal Care,Offline,L,02-07-2010,28-03-2010,396718728,3/18/2010,6742,81.73,56.67,551023.66,382069.14,168954.52,Yes,ok
E124,Europe,Hungary,Beverages,Offline,M,12-03-2010,29-03-2010,948075759,01-04-2011,5540,47.45,31.79,262873,176116.6,86756.4,Yes,ok
E124,Europe,Sweden,Cereal,Offline,L,10/19/2012,30-03-2010,737736070,11-03-2012,1352,205.7,117.11,278106.4,158332.72,119773.68,Yes,ok
E124,Europe,Slovakia,Household,Offline,L,2/20/2010,31-03-2010,585362994,04-11-2010,773,668.27,502.54,516572.71,388463.42,128109.29,Yes,ok
E124,Europe,Czech Republic,Baby Food,Offline,H,7/18/2015,01-04-2010,850872075,08-01-2015,810,255.28,159.42,206776.8,129130.2,77646.6,Yes,ok
E124,Europe,Bosnia and Herzegovina,Office Supplies,Offline,C,11-08-2012,02-04-2010,575583016,11/24/2012,6660,651.21,524.96,4337058.6,3496233.6,840825,Yes,ok
E124,Europe,Kosovo,Meat,Offline,H,02-01-2011,03-04-2010,515773189,2/17/2011,7603,421.89,364.69,3207629.67,2772738.07,434891.6,Yes,ok
E124,Europe,Monaco,Personal Care,Online,H,3/29/2016,04-04-2010,351247346,05-08-2016,750,81.73,56.67,61297.5,42502.5,18795,Yes,ok
E124,Europe,Portugal,Beverages,Offline,H,1/20/2016,05-04-2010,554721438,1/28/2016,3256,47.45,31.79,154497.2,103508.24,50988.96,Yes,ok
E124,Europe,Germany,Cereal,Offline,C,2/19/2010,06-04-2010,398333632,03-02-2010,4629,205.7,117.11,952185.3,542102.19,410083.11,Yes,ok
E124,Europe,Vatican City,Beverages,Online,C,12/27/2015,07-04-2010,370484149,1/19/2016,3348,47.45,31.79,158862.6,106432.92,52429.68,Yes,ok
E124,Europe,Denmark,Baby Food,Offline,H,9/29/2013,08-04-2010,306839406,10-01-2013,9454,255.28,159.42,2413417.12,1507156.68,906260.44,Yes,ok
E124,Europe,Estonia,Beverages,Offline,C,02-09-2017,09-04-2010,653548610,2/21/2017,8412,47.45,31.79,399149.4,267417.48,131731.92,Yes,ok
E124,Europe,Belarus,Vegetables,Online,L,12/31/2012,10-04-2010,413078916,01-11-2013,8086,154.06,90.93,1245729.16,735259.98,510469.18,Yes,ok
E124,Europe,Italy,Snacks,Online,M,12/14/2010,11-04-2010,307721745,01-01-2011,558,152.58,97.44,85139.64,54371.52,30768.12,Yes,ok
E124,Europe,Kosovo,Office Supplies,Online,C,11-09-2011,12-04-2010,374663245,11/26/2011,35,651.21,524.96,22792.35,18373.6,4418.75,Yes,ok
E124,Europe,Ireland,Vegetables,Offline,C,11/16/2010,13-04-2010,901670968,12-11-2010,3331,154.06,90.93,513173.86,302887.83,210286.03,Yes,ok
E124,Europe,Montenegro,Cosmetics,Offline,L,8/19/2012,14-04-2010,353320157,8/22/2012,4141,437.2,263.33,1810445.2,1090449.53,719995.67,Yes,ok
E124,Europe,Norway,Cereal,Offline,L,6/20/2013,15-04-2010,645701968,7/21/2013,6416,205.7,117.11,1319771.2,751377.76,568393.44,Yes,ok
E124,Europe,Poland,Office Supplies,Online,H,9/19/2013,16-04-2010,148894631,9/25/2013,85,651.21,524.96,55352.85,44621.6,10731.25,Yes,ok
E124,Europe,Sweden,Baby Food,Online,L,04-03-2013,17-04-2010,443551385,05-09-2013,5566,255.28,159.42,1420888.48,887331.72,533556.76,Yes,ok
E124,Europe,Vatican City,Clothes,Offline,H,03-11-2014,18-04-2010,508014523,3/20/2014,1642,109.28,35.84,179437.76,58849.28,120588.48,Yes,ok
E124,Europe,Lithuania,Office Supplies,Online,C,07-08-2012,19-04-2010,987767302,08-01-2012,1150,651.21,524.96,748891.5,603704,145187.5,Yes,ok
E124,Europe,Croatia,Baby Food,Offline,H,9/19/2012,20-04-2010,103832662,10/20/2012,5247,255.28,159.42,1339454.16,836476.74,502977.42,Yes,ok
E124,Europe,Malta,Personal Care,Online,H,2/19/2014,21-04-2010,445708739,2/27/2014,3975,81.73,56.67,324876.75,225263.25,99613.5,Yes,ok
E124,Europe,Macedonia,Beverages,Offline,M,7/24/2012,22-04-2010,354655683,7/31/2012,9353,47.45,31.79,443799.85,297331.87,146467.98,Yes,ok
E124,Europe,Belarus,Office Supplies,Offline,C,6/30/2017,23-04-2010,624398362,7/24/2017,2206,651.21,524.96,1436569.26,1158061.76,278507.5,Yes,ok
E124,Europe,Liechtenstein,Beverages,Online,C,09-05-2016,24-04-2010,264163959,9/22/2016,840,47.45,31.79,39858,26703.6,13154.4,Yes,ok
E124,Europe,Russia,Office Supplies,Offline,H,10/16/2011,25-04-2010,520915305,11-07-2011,9270,651.21,524.96,6036716.7,4866379.2,1170337.5,Yes,ok
E124,Europe,Armenia,Cereal,Online,H,02-05-2013,26-04-2010,424181544,03-04-2013,3600,205.7,117.11,740520,421596,318924,Yes,ok
E124,Europe,United Kingdom,Office Supplies,Online,H,07-03-2015,27-04-2010,560762631,7/16/2015,979,651.21,524.96,637534.59,513935.84,123598.75,Yes,ok
E124,Europe,Moldova ,Office Supplies,Offline,L,04-04-2015,28-04-2010,458816373,4/16/2015,2815,651.21,524.96,1833156.15,1477762.4,355393.75,Yes,ok
E124,Europe,Netherlands,Household,Offline,L,8/18/2013,29-04-2010,142987763,09-01-2013,2112,668.27,502.54,1411386.24,1061364.48,350021.76,Yes,ok
E124,Europe,Andorra,Snacks,Offline,C,1/23/2010,30-04-2010,480904042,02-05-2010,9048,152.58,97.44,1380543.84,881637.12,498906.72,Yes,ok
E124,Europe,Armenia,Vegetables,Online,M,12-07-2016,01-05-2010,571323239,01-01-2017,6097,154.06,90.93,939303.82,554400.21,384903.61,Yes,ok
E124,Europe,Italy,Snacks,Online,H,9/16/2012,02-05-2010,281100928,11-03-2012,2866,152.58,97.44,437294.28,279263.04,158031.24,Yes,ok
E124,Europe,Croatia,Household,Online,L,4/26/2013,03-05-2010,659196269,06-01-2013,9680,668.27,502.54,6468853.6,4864587.2,1604266.4,Yes,ok
E124,Europe,Bulgaria,Personal Care,Offline,H,10/24/2012,04-05-2010,595496594,11-04-2012,9530,81.73,56.67,778886.9,540065.1,238821.8,Yes,ok
E124,Europe,Ireland,Personal Care,Offline,H,5/30/2010,05-05-2010,354931628,06-08-2010,1011,81.73,56.67,82629.03,57293.37,25335.66,Yes,ok
E124,Europe,Spain,Meat,Offline,C,11/29/2011,06-05-2010,436969029,12/17/2011,7701,421.89,364.69,3248974.89,2808477.69,440497.2,Yes,ok
E124,Europe,Moldova ,Vegetables,Online,L,3/28/2016,07-05-2010,810752236,05-04-2016,8458,154.06,90.93,1303039.48,769085.94,533953.54,Yes,ok
E124,Europe,Italy,Office Supplies,Offline,C,07-08-2011,08-05-2010,886620128,7/25/2011,9453,651.21,524.96,6155888.13,4962446.88,1193441.25,Yes,ok
E124,Europe,Finland,Cereal,Offline,M,04-10-2010,09-05-2010,889093768,5/20/2010,1458,205.7,117.11,299910.6,170746.38,129164.22,Yes,ok
E124,Europe,Poland,Cereal,Online,C,08-06-2011,10-05-2010,454550588,09-06-2011,475,205.7,117.11,97707.5,55627.25,42080.25,Yes,ok
E124,Europe,Austria,Office Supplies,Online,L,2/18/2017,11-05-2010,926064479,03-10-2017,1913,651.21,524.96,1245764.73,1004248.48,241516.25,Yes,ok
E124,Europe,Andorra,Fruits,Offline,C,6/29/2016,12-05-2010,413245427,07-02-2016,7360,9.33,6.92,68668.8,50931.2,17737.6,Yes,ok
E124,Europe,Finland,Beverages,Online,H,9/18/2011,13-05-2010,884147775,10/19/2011,7829,47.45,31.79,371486.05,248883.91,122602.14,Yes,ok
E124,Europe,Andorra,Cosmetics,Online,C,6/30/2012,14-05-2010,328322827,7/19/2012,6876,437.2,263.33,3006187.2,1810657.08,1195530.12,Yes,ok
E124,Europe,Germany,Snacks,Online,H,3/22/2014,15-05-2010,158673751,05-10-2014,3944,152.58,97.44,601775.52,384303.36,217472.16,Yes,ok
E124,Europe,Italy,Snacks,Offline,L,01-07-2014,16-05-2010,464911210,02-10-2014,6413,152.58,97.44,978495.54,624882.72,353612.82,Yes,ok
E124,Europe,Serbia,Beverages,Online,C,10-12-2010,17-05-2010,395562589,12-01-2010,4615,47.45,31.79,218981.75,146710.85,72270.9,Yes,ok
E124,Europe,Italy,Baby Food,Offline,H,03-01-2012,18-05-2010,459372985,3/22/2012,7529,255.28,159.42,1922003.12,1200273.18,721729.94,Yes,ok
E124,Europe,Armenia,Meat,Online,L,6/25/2012,19-05-2010,693210542,8/13/2012,5259,421.89,364.69,2218719.51,1917904.71,300814.8,Yes,ok
E124,Europe,Sweden,Fruits,Offline,L,8/22/2011,20-05-2010,153974950,9/20/2011,3464,9.33,6.92,32319.12,23970.88,8348.24,Yes,ok
E124,Europe,Romania,Snacks,Online,H,8/18/2014,21-05-2010,747327220,9/15/2014,9587,152.58,97.44,1462784.46,934157.28,528627.18,Yes,ok
E124,Europe,Bosnia and Herzegovina,Clothes,Online,M,10-10-2011,22-05-2010,166810500,11/21/2011,1789,109.28,35.84,195501.92,64117.76,131384.16,Yes,ok
E124,Europe,Lithuania,Personal Care,Offline,M,3/31/2013,23-05-2010,386009633,04-05-2013,7683,81.73,56.67,627931.59,435395.61,192535.98,Yes,ok
E124,Europe,Germany,Personal Care,Offline,H,02-08-2016,24-05-2010,993368613,2/16/2016,8702,81.73,56.67,711214.46,493142.34,218072.12,Yes,ok
E124,Europe,Germany,Baby Food,Online,L,12-09-2014,25-05-2010,405986297,01-02-2015,9222,255.28,159.42,2354192.16,1470171.24,884020.92,Yes,ok
E124,Europe,Bulgaria,Beverages,Online,H,02-04-2016,26-05-2010,476794040,03-07-2016,2807,47.45,31.79,133192.15,89234.53,43957.62,Yes,ok
E124,Europe,Serbia,Meat,Offline,C,12/21/2011,27-05-2010,380610454,12/29/2011,9946,421.89,364.69,4196117.94,3627206.74,568911.2,Yes,ok
E124,Europe,France,Vegetables,Offline,L,02-01-2012,28-05-2010,455040681,02-02-2012,5504,154.06,90.93,847946.24,500478.72,347467.52,Yes,ok
E124,Europe,Iceland,Clothes,Online,M,09-10-2013,29-05-2010,917792117,10-07-2013,3938,109.28,35.84,430344.64,141137.92,289206.72,Yes,ok
E124,Europe,Albania,Cosmetics,Offline,L,6/27/2011,30-05-2010,728793370,08-12-2011,5009,437.2,263.33,2189934.8,1319019.97,870914.83,Yes,ok
E124,Europe,Austria,Fruits,Offline,M,4/20/2011,31-05-2010,185960614,5/28/2011,8733,9.33,6.92,81478.89,60432.36,21046.53,Yes,ok
E124,Europe,Finland,Office Supplies,Offline,H,11/29/2011,01-06-2010,445273578,01-09-2012,5201,651.21,524.96,3386943.21,2730316.96,656626.25,Yes,ok
E124,Europe,Georgia,Baby Food,Online,L,1/26/2014,02-06-2010,359197413,03-08-2014,3352,255.28,159.42,855698.56,534375.84,321322.72,Yes,ok
E124,Europe,Romania,Personal Care,Offline,L,5/14/2013,03-06-2010,853036296,06-01-2013,1251,81.73,56.67,102244.23,70894.17,31350.06,Yes,ok
E124,Europe,Switzerland,Fruits,Offline,M,3/21/2012,04-06-2010,567412793,3/27/2012,8910,9.33,6.92,83130.3,61657.2,21473.1,Yes,ok
E124,Europe,Ireland,Cosmetics,Offline,H,8/27/2016,05-06-2010,139201343,09-06-2016,1625,437.2,263.33,710450,427911.25,282538.75,Yes,ok
E124,Europe,Ukraine,Cosmetics,Online,C,06-09-2014,06-06-2010,183910119,06-11-2014,1946,437.2,263.33,850791.2,512440.18,338351.02,Yes,ok
E124,Europe,Luxembourg,Clothes,Online,H,11-07-2013,07-06-2010,922363460,11/23/2013,6700,109.28,35.84,732176,240128,492048,Yes,ok
E124,Europe,Austria,Beverages,Offline,C,04-02-2012,08-06-2010,192922341,05-01-2012,8863,47.45,31.79,420549.35,281754.77,138794.58,Yes,ok
E124,Europe,Monaco,Cereal,Online,L,06-03-2017,09-06-2010,792178905,7/21/2017,2197,205.7,117.11,451922.9,257290.67,194632.23,Yes,ok
E124,Europe,Serbia,Beverages,Online,M,12/20/2011,10-06-2010,424297845,01-08-2012,8016,47.45,31.79,380359.2,254828.64,125530.56,Yes,ok
E124,Europe,Ireland,Baby Food,Online,H,5/23/2017,11-06-2010,243684327,5/30/2017,462,255.28,159.42,117939.36,73652.04,44287.32,Yes,ok
E124,Europe,San Marino,Clothes,Offline,M,05-07-2012,12-06-2010,152505099,5/19/2012,8503,109.28,35.84,929207.84,304747.52,624460.32,Yes,ok
E124,Europe,Georgia,Baby Food,Online,L,6/24/2015,13-06-2010,203036630,7/28/2015,1905,255.28,159.42,486308.4,303695.1,182613.3,Yes,ok
E124,Europe,Ukraine,Snacks,Offline,C,1/25/2016,14-06-2010,611791121,03-03-2016,1443,152.58,97.44,220172.94,140605.92,79567.02,Yes,ok
E124,Europe,San Marino,Cereal,Offline,C,7/22/2012,15-06-2010,554554927,08-06-2012,3981,205.7,117.11,818891.7,466214.91,352676.79,Yes,ok
E124,Europe,Bosnia and Herzegovina,Office Supplies,Offline,H,07-11-2012,16-06-2010,434275662,8/13/2012,674,651.21,524.96,438915.54,353823.04,85092.5,Yes,ok
E124,Europe,Germany,Personal Care,Offline,H,7/27/2014,17-06-2010,835093390,7/29/2014,1547,81.73,56.67,126436.31,87668.49,38767.82,Yes,ok
